#NAME?,RF AUSTRIA GVT BMK BID YLD 10Y - RED. YIELD,RF BELGIUM GVT BMK BID YLD 10Y - RED. YIELD,RF CYPRUS GVT BMK BID YLD 10Y - RED. YIELD,RF GERMANY GVT BMK BID YLD 10Y - RED. YIELD,RF SPAIN GVT BMK BID YLD 10Y - RED. YIELD,RF FINLAND GVT BMK BID YLD 10Y - RED. YIELD,RF FRANCE GVT BMK BID YLD 10Y - RED. YIELD,RF GREECE GVT BMK BID YLD 10Y - RED. YIELD,RF IRELAND GVT BMK BID YLD 10Y - RED. YIELD,RF ITALY GVT BMK BID YLD 10Y - RED. YIELD,RF LITHUANIA GVT BMK BID YLD 10Y - RED. YIELD,#ERROR,RF LATVIA GVT BMK BID YLD 10Y DISC - RED. YIELD,RF MALTA GVT BMK BID YLD 10Y - RED. YIELD,RF NETHERLANDS GVT BMK BID YLD 10Y - RED. YIELD,RF PORTUGAL GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVENIA GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVAKIA GVT BMK BID YLD 10Y - RED. YIELD,RFV DEM 6M IRS 10Y - MIDDLE RATE,
28-01-2022,0.207,0.288,0.899,-0.044,0.701,0.215,0.366,1.721,0.472,1.349,0.662,,0.549,0.854,0.085,0.622,0.506,0.217,0.4142,
31-01-2022,0.264,0.352,0.955,0.014,0.757,0.269,0.428,1.769,0.513,1.368,0.672,,0.549,0.892,0.146,0.672,0.532,0.275,0.46,
01-02-2022,0.28,0.366,0.978,0.034,0.783,0.289,0.448,1.747,0.527,1.419,0.683,,0.549,0.917,0.166,0.701,0.52,0.28,0.486,
02-02-2022,0.282,0.361,0.991,0.035,0.788,0.29,0.446,1.777,0.527,1.418,0.696,,0.549,0.951,0.162,0.715,0.563,0.299,0.496,
03-02-2022,0.427,0.504,1.021,0.149,0.95,0.41,0.585,1.865,0.667,1.644,0.78,,0.549,0.965,0.286,0.883,0.588,0.449,0.575,
04-02-2022,0.497,0.643,1.223,0.207,1.049,0.483,0.646,2.089,0.731,1.75,0.91,,0.549,1.089,0.351,0.978,0.707,0.492,0.649,
07-02-2022,0.529,0.671,1.256,0.222,1.087,0.507,0.669,2.372,0.755,1.81,0.75,,0.549,1.163,0.369,1.019,0.791,0.527,0.701,
08-02-2022,0.577,0.724,1.337,0.264,1.131,0.55,0.72,2.556,0.814,1.849,0.75,,0.549,1.17,0.416,1.019,0.83,0.598,0.768,
09-02-2022,0.523,0.68,1.31,0.22,1.087,0.504,0.675,2.466,0.753,1.772,0.75,,0.549,1.165,0.37,1.024,0.776,0.539,0.723,
10-02-2022,0.614,0.77,1.45,0.292,1.196,0.572,0.758,2.552,0.837,1.924,0.75,,0.549,1.165,0.451,1.135,0.795,0.622,0.812,
